index,data,is_discord
0,0.02,N
1,-0.22,N
2,0.02,N
3,-0.22,N
4,-0.02,N
5,-0.22,N
6,-0.02,N
7,-0.22,N
8,-0.02,N
9,-0.22,N
10,0.02,N
11,-0.22,N
12,-0.02,N
13,-0.22,N
14,0.02,N
15,-0.22,N
16,-0.02,N
17,-0.22,N
18,0.02,N
19,-0.22,N
20,0.02,N
21,-0.22,N
22,-0.02,N
23,-0.22,N
24,-0.02,N
25,-0.22,N
26,0.02,N
27,-0.22,N
28,0.02,N
29,-0.22,N
30,-0.02,N
31,-0.22,N
32,-0.02,N
33,-0.22,N
34,-0.02,N
35,-0.22,N
36,0.02,N
37,-0.22,N
38,-0.02,N
39,-0.22,N
40,-0.02,N
41,-0.22,N
42,0.02,N
43,-0.22,N
44,0.02,N
45,-0.22,N
46,-0.02,N
47,-0.22,N
48,0.02,N
49,-0.22,N
50,-0.02,N
51,-0.22,N
52,0.02,N
53,-0.22,N
54,-0.02,N
55,-0.22,N
56,-0.02,N
57,-0.22,N
58,0.02,N
59,-0.22,N
60,-0.02,N
61,-0.22,N
62,-0.02,N
63,-0.22,N
64,-0.02,N
65,-0.22,N
66,0.02,N
67,-0.22,N
68,-0.02,N
69,-0.22,N
70,-0.02,N
71,-0.22,N
72,0.02,N
73,-0.22,N
74,-0.02,N
75,-0.22,N
76,-0.02,N
77,-0.22,N
78,0.02,N
79,-0.22,N
80,-0.02,N
81,-0.22,N
82,-0.02,N
83,-0.22,N
84,-0.02,N
85,-0.22,N
86,-0.02,N
87,-0.22,N
88,-0.02,N
89,-0.22,N
90,-0.02,N
91,-0.22,N
92,-0.02,N
93,-0.22,N
94,0.02,N
95,-0.22,N
96,-0.02,N
97,-0.02,N
98,0.66,N
99,0.66,N
100,1.18,N
101,0.14,N
102,0.5,N
103,0.34,N
104,0.7,N
105,0.5,N
106,0.86,N
107,0.7,N
108,1.02,N
109,0.82,N
110,1.18,N
111,0.98,N
112,1.3,N
113,1.1,N
114,1.42,N
115,1.26,N
116,1.58,N
117,1.38,N
118,1.7,N
119,1.46,N
120,1.78,N
121,1.58,N
122,1.9,N
123,1.7,N
124,2.02,N
125,1.82,N
126,2.1,N
127,1.9,N
128,2.18,N
129,2.02,N
130,2.26,N
131,2.06,N
132,2.34,N
133,2.14,N
134,2.42,N
135,2.18,N
136,2.42,N
137,1.74,N
138,2.38,N
139,0.38,N
140,1.9,N
141,-0.06,N
142,1.54,N
143,0.9,N
144,1.18,N
145,0.98,N
146,1.26,N
147,1.06,N
148,1.38,N
149,1.14,N
150,1.42,N
151,1.26,N
152,1.54,N
153,1.18,N
154,1.7,N
155,1.46,N
156,1.82,N
157,1.62,N
158,2.14,N
159,1.82,N
160,2.22,N
161,2.06,N
162,2.42,N
163,2.26,N
164,2.62,N
165,2.46,N
166,2.82,N
167,2.62,N
168,2.94,N
169,2.78,N
170,3.14,N
171,2.94,N
172,3.3,N
173,3.1,N
174,3.38,N
175,3.22,N
176,3.5,N
177,3.34,N
178,3.58,N
179,3.42,N
180,3.66,N
181,3.46,N
182,3.74,N
183,3.5,N
184,3.78,N
185,3.58,N
186,3.82,N
187,3.62,N
188,3.86,N
189,3.66,N
190,3.86,N
191,3.66,N
192,3.9,N
193,3.7,N
194,3.9,N
195,3.7,N
196,3.94,N
197,3.7,N
198,3.94,N
199,3.74,N
200,3.94,N
201,3.74,N
202,3.98,N
203,3.74,N
204,3.98,N
205,3.74,N
206,3.98,N
207,3.7,N
208,3.98,N
209,3.74,N
210,3.98,N
211,3.74,N
212,3.98,N
213,3.74,N
214,3.98,N
215,3.74,N
216,3.98,N
217,3.74,N
218,3.98,N
219,3.74,N
220,3.98,N
221,3.74,N
222,3.98,N
223,3.74,N
224,3.98,N
225,3.74,N
226,3.98,N
227,3.7,N
228,4.02,N
229,3.74,N
230,3.98,N
231,3.74,N
232,3.98,N
233,3.74,N
234,3.98,N
235,3.74,N
236,3.98,N
237,3.74,N
238,3.98,N
239,3.74,N
240,3.98,N
241,3.74,N
242,3.98,N
243,3.74,N
244,3.98,N
245,3.74,N
246,3.98,N
247,3.74,N
248,3.98,N
249,3.74,N
250,3.98,N
251,3.74,N
252,3.98,N
253,3.74,N
254,3.98,N
255,3.74,N
256,3.98,N
257,3.74,N
258,3.98,N
259,3.74,N
260,3.98,N
261,3.74,N
262,3.98,N
263,3.74,N
264,3.98,N
265,3.74,N
266,3.98,N
267,3.74,N
268,3.98,N
269,3.74,N
270,3.98,N
271,3.74,N
272,3.98,N
273,3.74,N
274,3.98,N
275,3.74,N
276,3.98,N
277,3.74,N
278,3.98,N
279,3.74,N
280,3.98,N
281,3.74,N
282,3.98,N
283,3.7,N
284,3.98,N
285,3.74,N
286,3.98,N
287,3.74,N
288,3.98,N
289,3.74,N
290,3.98,N
291,3.74,N
292,3.98,N
293,3.74,N
294,3.98,N
295,3.7,N
296,3.98,N
297,3.74,N
298,3.98,N
299,3.74,N
300,3.98,N
301,3.74,N
302,3.98,N
303,3.74,N
304,3.98,N
305,3.74,N
306,3.98,N
307,3.74,N
308,3.98,N
309,3.7,N
310,3.98,N
311,3.74,N
312,3.98,N
313,3.74,N
314,3.98,N
315,3.74,N
316,3.98,N
317,3.74,N
318,3.98,N
319,3.74,N
320,3.98,N
321,3.74,N
322,3.98,N
323,3.74,N
324,3.98,N
325,3.74,N
326,3.98,N
327,3.74,N
328,3.98,N
329,3.74,N
330,3.98,N
331,3.74,N
332,3.98,N
333,3.74,N
334,3.98,N
335,3.74,N
336,3.98,N
337,3.74,N
338,3.98,N
339,3.74,N
340,3.98,N
341,3.74,N
342,3.98,N
343,3.74,N
344,3.98,N
345,3.74,N
346,3.98,N
347,3.74,N
348,3.98,N
349,3.74,N
350,3.98,N
351,3.74,N
352,3.98,N
353,3.74,N
354,3.98,N
355,3.74,N
356,3.98,N
357,3.7,N
358,3.98,N
359,3.74,N
360,3.98,N
361,3.7,N
362,3.98,N
363,3.74,N
364,3.94,N
365,3.02,N
366,3.02,N
367,3.02,N
368,1.74,N
369,1.74,N
370,2.38,N
371,1.42,N
372,1.9,N
373,0.94,N
374,1.62,N
375,1.02,N
376,1.38,N
377,0.9,N
378,1.22,N
379,0.78,N
380,1.1,N
381,0.7,N
382,0.98,N
383,0.62,N
384,0.9,N
385,0.58,N
386,0.86,N
387,0.54,N
388,0.78,N
389,0.5,N
390,0.74,N
391,0.5,N
392,0.7,N
393,0.46,N
394,0.66,N
395,0.42,N
396,0.62,N
397,0.42,N
398,0.62,N
399,0.42,N
400,0.62,N
401,0.42,N
402,0.62,N
403,0.38,N
404,0.62,N
405,0.38,N
406,0.58,N
407,0.38,N
408,0.58,N
409,0.34,N
410,0.58,N
411,0.26,N
412,0.58,N
413,0.34,N
414,0.54,N
415,0.3,N
416,0.5,N
417,0.3,N
418,0.5,N
419,0.3,N
420,0.5,N
421,0.26,N
422,0.46,N
423,0.26,N
424,0.46,N
425,0.26,N
426,0.46,N
427,0.22,N
428,0.46,N
429,0.22,N
430,0.46,N
431,0.22,N
432,0.46,N
433,0.22,N
434,0.42,N
435,0.22,N
436,0.42,N
437,0.22,N
438,0.42,N
439,0.22,N
440,0.42,N
441,0.18,N
442,0.42,N
443,0.18,N
444,0.38,N
445,0.18,N
446,0.38,N
447,0.14,N
448,0.38,N
449,0.14,N
450,0.38,N
451,0.14,N
452,0.38,N
453,0.14,N
454,0.38,N
455,0.14,N
456,0.38,N
457,0.14,N
458,0.38,N
459,0.1,N
460,0.38,N
461,0.1,N
462,0.34,N
463,0.1,N
464,0.34,N
465,0.1,N
466,0.34,N
467,0.1,N
468,0.34,N
469,0.1,N
470,0.34,N
471,0.06,N
472,0.3,N
473,0.1,N
474,0.3,N
475,0.06,N
476,0.3,N
477,0.06,N
478,0.3,N
479,0.06,N
480,0.3,N
481,0.06,N
482,0.3,N
483,0.06,N
484,0.3,N
485,0.06,N
486,0.26,N
487,0.06,N
488,0.26,N
489,0.02,N
490,0.26,N
491,0.06,N
492,0.26,N
493,0.02,N
494,0.3,N
495,0.02,N
496,0.26,N
497,0.02,N
498,0.26,N
499,0.02,N
500,0.26,N
501,0.02,N
502,0.26,N
503,0.02,N
504,0.26,N
505,0.02,N
506,0.26,N
507,0.02,N
508,0.26,N
509,0.02,N
510,0.22,N
511,0.02,N
512,0.22,N
513,0.02,N
514,0.22,N
515,0.02,N
516,0.3,N
517,0.14,N
518,0.74,N
519,0.58,N
520,1.06,N
521,0.54,N
522,1.02,N
523,0.62,N
524,0.94,N
525,0.62,N
526,0.86,N
527,0.58,N
528,0.82,N
529,0.54,N
530,0.78,N
531,0.5,N
532,0.74,N
533,0.46,N
534,0.74,N
535,0.42,N
536,0.66,N
537,0.38,N
538,0.62,N
539,0.38,N
540,0.58,N
541,0.34,N
542,0.54,N
543,0.3,N
544,0.54,N
545,0.3,N
546,0.5,N
547,0.26,N
548,0.46,N
549,0.22,N
550,0.46,N
551,0.22,N
552,0.42,N
553,0.18,N
554,0.42,N
555,0.14,N
556,0.38,N
557,0.14,N
558,0.38,N
559,0.14,N
560,0.34,N
561,0.1,N
562,0.34,N
563,0.1,N
564,0.3,N
565,0.06,N
566,0.3,N
567,0.06,N
568,0.26,N
569,0.02,N
570,0.26,N
571,0.02,N
572,0.22,N
573,-0.02,N
574,0.22,N
575,-0.02,N
576,0.22,N
577,-0.02,N
578,0.22,N
579,-0.02,N
580,0.18,N
581,-0.06,N
582,0.18,N
583,-0.06,N
584,0.14,N
585,-0.06,N
586,0.14,N
587,-0.1,N
588,0.14,N
589,-0.1,N
590,0.14,N
591,-0.1,N
592,0.1,N
593,-0.1,N
594,0.1,N
595,-0.14,N
596,0.1,N
597,-0.14,N
598,0.1,N
599,-0.14,N
600,0.1,N
601,-0.14,N
602,0.06,N
603,-0.14,N
604,0.06,N
605,-0.14,N
606,0.06,N
607,-0.18,N
608,0.06,N
609,-0.18,N
610,0.06,N
611,-0.18,N
612,0.06,N
613,-0.18,N
614,0.02,N
615,-0.18,N
616,0.06,N
617,-0.18,N
618,0.02,N
619,-0.18,N
620,0.02,N
621,-0.18,N
622,0.02,N
623,-0.22,N
624,0.02,N
625,-0.22,N
626,0.02,N
627,-0.22,N
628,0.02,N
629,-0.22,N
630,0.02,N
631,-0.22,N
632,0.02,N
633,-0.22,N
634,0.02,N
635,-0.22,N
636,-0.02,N
637,-0.22,N
638,0.02,N
639,-0.22,N
640,0.02,N
641,-0.22,N
642,0.02,N
643,-0.22,N
644,-0.02,N
645,-0.22,N
646,0.02,N
647,-0.22,N
648,0.02,N
649,-0.22,N
650,-0.02,N
651,-0.22,N
652,0.02,N
653,-0.22,N
654,-0.02,N
655,-0.22,N
656,0.02,N
657,-0.22,N
658,-0.02,N
659,-0.22,N
660,0.02,N
661,-0.22,N
662,-0.02,N
663,-0.22,N
664,-0.02,N
665,-0.22,N
666,0.02,N
667,-0.22,N
668,0.02,N
669,-0.22,N
670,-0.02,N
671,-0.22,N
672,0.02,N
673,-0.22,N
674,-0.02,N
675,-0.22,N
676,-0.02,N
677,-0.22,N
678,-0.02,N
679,-0.22,N
680,0.02,N
681,-0.22,N
682,-0.02,N
683,-0.26,N
684,0.02,N
685,-0.22,N
686,-0.02,N
687,-0.22,N
688,0.02,N
689,-0.22,N
690,0.02,N
691,-0.22,N
692,0.02,N
693,-0.22,N
694,-0.02,N
695,-0.22,N
696,-0.02,N
697,-0.22,N
698,-0.02,N
699,-0.22,N
700,-0.02,N
701,-0.22,N
702,-0.02,N
703,-0.22,N
704,0.02,N
705,-0.22,N
706,-0.02,N
707,-0.22,N
708,0.02,N
709,-0.22,N
710,-0.02,N
711,-0.22,N
712,-0.02,N
713,-0.22,N
714,-0.02,N
715,-0.22,N
716,-0.02,N
717,-0.22,N
718,0.02,N
719,-0.22,N
720,0.02,N
721,-0.22,N
722,0.02,N
723,-0.22,N
724,0.02,N
725,-0.22,N
726,-0.02,N
727,-0.22,N
728,0.02,N
729,-0.22,N
730,0.02,N
731,-0.22,N
732,0.02,N
733,-0.22,N
734,0.02,N
735,-0.22,N
736,-0.02,N
737,-0.22,N
738,0.02,N
739,-0.22,N
740,-0.02,N
741,-0.22,N
742,0.02,N
743,-0.22,N
744,0.02,N
745,-0.22,N
746,-0.02,N
747,-0.22,N
748,-0.02,N
749,-0.22,N
750,-0.02,N
751,-0.22,N
752,0.02,N
753,-0.22,N
754,0.02,N
755,-0.22,N
756,-0.02,N
757,-0.22,N
758,-0.02,N
759,-0.22,N
760,-0.02,N
761,-0.22,N
762,-0.02,N
763,-0.22,N
764,0.02,N
765,-0.22,N
766,0.02,N
767,-0.22,N
768,-0.02,N
769,-0.22,N
770,-0.02,N
771,-0.22,N
772,0.02,N
773,-0.22,N
774,-0.02,N
775,-0.22,N
776,0.02,N
777,-0.22,N
778,-0.02,N
779,-0.22,N
780,-0.02,N
781,-0.22,N
782,0.02,N
783,-0.22,N
784,-0.02,N
785,-0.22,N
786,0.02,N
787,-0.22,N
788,0.02,N
789,-0.22,N
790,-0.02,N
791,-0.22,N
792,0.02,N
793,-0.22,N
794,-0.02,N
795,-0.22,N
796,-0.02,N
797,-0.22,N
798,-0.02,N
799,-0.22,N
800,-0.02,N
801,-0.22,N
802,0.02,N
803,-0.22,N
804,0.02,N
805,-0.22,N
806,-0.02,N
807,-0.22,N
808,0.02,N
809,-0.22,N
810,-0.02,N
811,-0.22,N
812,-0.02,N
813,-0.22,N
814,0.02,N
815,-0.22,N
816,-0.02,N
817,-0.22,N
818,0.02,N
819,-0.22,N
820,0.02,N
821,-0.22,N
822,-0.02,N
823,-0.22,N
824,-0.02,N
825,-0.22,N
826,-0.02,N
827,-0.22,N
828,-0.02,N
829,-0.22,N
830,-0.02,N
831,-0.22,N
832,-0.02,N
833,-0.22,N
834,0.02,N
835,-0.22,N
836,0.02,N
837,-0.22,N
838,-0.02,N
839,-0.22,N
840,-0.02,N
841,-0.22,N
842,0.02,N
843,-0.22,N
844,0.02,N
845,-0.22,N
846,-0.02,N
847,-0.22,N
848,0.02,N
849,-0.22,N
850,-0.02,N
851,-0.22,N
852,-0.02,N
853,-0.22,N
854,0.02,N
855,-0.22,N
856,-0.02,N
857,-0.22,N
858,-0.02,N
859,-0.22,N
860,-0.02,N
861,-0.22,N
862,-0.02,N
863,-0.22,N
864,0.02,N
865,-0.22,N
866,0.02,N
867,-0.22,N
868,0.02,N
869,-0.22,N
870,-0.02,N
871,-0.22,N
872,0.02,N
873,-0.22,N
874,0.02,N
875,-0.22,N
876,0.02,N
877,-0.22,N
878,-0.02,N
879,-0.22,N
880,-0.02,N
881,-0.22,N
882,0.02,N
883,-0.22,N
884,0.02,N
885,-0.22,N
886,-0.02,N
887,-0.22,N
888,-0.02,N
889,-0.22,N
890,-0.02,N
891,-0.22,N
892,-0.02,N
893,-0.22,N
894,-0.02,N
895,-0.22,N
896,-0.02,N
897,-0.22,N
898,0.02,N
899,-0.22,N
900,0.02,N
901,-0.22,N
902,-0.02,N
903,-0.22,N
904,-0.02,N
905,-0.22,N
906,0.02,N
907,-0.22,N
908,0.02,N
909,-0.22,N
910,0.02,N
911,-0.22,N
912,-0.02,N
913,-0.22,N
914,0.02,N
915,-0.22,N
916,0.02,N
917,-0.22,N
918,-0.02,N
919,-0.22,N
920,0.02,N
921,-0.22,N
922,0.02,N
923,-0.22,N
924,0.02,N
925,-0.22,N
926,-0.02,N
927,-0.22,N
928,-0.02,N
929,-0.22,N
930,-0.02,N
931,-0.22,N
932,-0.02,N
933,-0.22,N
934,-0.02,N
935,-0.22,N
936,0.02,N
937,-0.22,N
938,-0.02,N
939,-0.22,N
940,-0.02,N
941,-0.22,N
942,-0.02,N
943,-0.22,N
944,-0.02,N
945,-0.22,N
946,-0.02,N
947,-0.22,N
948,0.02,N
949,-0.22,N
950,0.02,N
951,-0.22,N
952,0.02,N
953,-0.22,N
954,-0.02,N
955,-0.22,N
956,0.02,N
957,-0.22,N
958,0.02,N
959,-0.22,N
960,0.02,N
961,-0.22,N
962,0.02,N
963,-0.22,N
964,-0.02,N
965,-0.22,N
966,-0.02,N
967,-0.22,N
968,0.02,N
969,-0.22,N
970,0.02,N
971,-0.22,N
972,0.02,N
973,-0.22,N
974,-0.02,N
975,-0.22,N
976,-0.02,N
977,-0.22,N
978,-0.02,N
979,-0.22,N
980,0.02,N
981,-0.22,N
982,0.02,N
983,-0.22,N
984,-0.02,N
985,-0.22,N
986,-0.02,N
987,-0.22,N
988,0.02,N
989,-0.22,N
990,0.02,N
991,-0.22,N
992,0.02,N
993,-0.22,N
994,0.02,N
995,-0.22,N
996,-0.02,N
997,-0.22,N
998,0.02,N
999,-0.22,N
1000,-0.02,N
1001,-0.22,N
1002,-0.02,N
1003,-0.22,N
1004,-0.02,N
1005,-0.22,N
1006,-0.02,N
1007,-0.22,N
1008,-0.02,N
1009,-0.22,N
1010,-0.02,N
1011,-0.22,N
1012,0.02,N
1013,-0.22,N
1014,-0.02,N
1015,-0.22,N
1016,-0.02,N
1017,-0.22,N
1018,0.02,N
1019,-0.22,N
1020,0.02,N
1021,-0.22,N
1022,-0.02,N
1023,-0.22,N
1024,0.02,N
1025,-0.22,N
1026,-0.02,N
1027,-0.22,N
1028,-0.02,N
1029,-0.22,N
1030,-0.02,N
1031,-0.22,N
1032,-0.02,N
1033,-0.22,N
1034,-0.02,N
1035,-0.22,N
1036,-0.02,N
1037,-0.22,N
1038,0.02,N
1039,-0.22,N
1040,0.02,N
1041,-0.22,N
1042,-0.02,N
1043,-0.22,N
1044,0.02,N
1045,-0.22,N
1046,0.02,N
1047,-0.22,N
1048,-0.02,N
1049,-0.22,N
1050,-0.02,N
1051,-0.22,N
1052,-0.02,N
1053,-0.22,N
1054,-0.02,N
1055,-0.22,N
1056,-0.02,N
1057,-0.22,N
1058,-0.02,N
1059,-0.22,N
1060,-0.02,N
1061,-0.22,N
1062,-0.02,N
1063,-0.22,N
1064,0.02,N
1065,-0.22,N
1066,-0.02,N
1067,-0.22,N
1068,-0.02,N
1069,-0.22,N
1070,-0.02,N
1071,-0.22,N
1072,-0.02,N
1073,-0.22,N
1074,-0.02,N
1075,-0.22,N
1076,0.02,N
1077,-0.22,N
1078,-0.02,N
1079,-0.22,N
1080,0.02,N
1081,-0.22,N
1082,-0.02,N
1083,-0.22,N
1084,-0.02,N
1085,-0.22,N
1086,-0.02,N
1087,-0.22,N
1088,0.02,N
1089,0.02,N
1090,0.58,N
1091,-0.06,N
1092,0.38,N
1093,0.22,N
1094,0.58,N
1095,0.38,N
1096,0.74,N
1097,0.58,N
1098,0.86,N
1099,0.7,N
1100,1.06,N
1101,0.86,N
1102,1.22,N
1103,1.02,N
1104,1.34,N
1105,1.14,N
1106,1.46,N
1107,1.26,N
1108,1.58,N
1109,1.42,N
1110,1.7,N
1111,1.54,N
1112,1.82,N
1113,1.62,N
1114,1.94,N
1115,1.74,N
1116,2.02,N
1117,1.82,N
1118,2.14,N
1119,1.94,N
1120,2.22,N
1121,2.02,N
1122,2.3,N
1123,2.1,N
1124,2.38,N
1125,2.18,N
1126,2.42,N
1127,1.94,N
1128,2.38,N
1129,0.74,N
1130,2.1,N
1131,-0.02,N
1132,1.54,N
1133,0.14,N
1134,1.42,N
1135,0.98,N
1136,1.22,N
1137,1.02,N
1138,1.3,N
1139,1.14,N
1140,1.42,N
1141,1.22,N
1142,1.62,N
1143,1.3,N
1144,1.66,N
1145,1.46,N
1146,1.78,N
1147,1.58,N
1148,1.98,N
1149,1.78,N
1150,2.14,N
1151,1.98,N
1152,2.38,N
1153,2.18,N
1154,2.58,N
1155,2.38,N
1156,2.74,N
1157,2.58,N
1158,2.9,N
1159,2.74,N
1160,3.1,N
1161,2.9,N
1162,3.26,N
1163,3.1,N
1164,3.38,N
1165,3.22,N
1166,3.5,N
1167,3.34,N
1168,3.62,N
1169,3.42,N
1170,3.7,N
1171,3.5,N
1172,3.78,N
1173,3.54,N
1174,3.82,N
1175,3.62,N
1176,3.86,N
1177,3.66,N
1178,3.9,N
1179,3.7,N
1180,3.94,N
1181,3.74,N
1182,3.98,N
1183,3.74,N
1184,3.98,N
1185,3.74,N
1186,3.98,N
1187,3.78,N
1188,3.98,N
1189,3.78,N
1190,3.98,N
1191,3.78,N
1192,3.98,N
1193,3.78,N
1194,4.02,N
1195,3.78,N
1196,4.02,N
1197,3.82,N
1198,4.02,N
1199,3.78,N
1200,4.02,N
1201,3.82,N
1202,4.02,N
1203,3.78,N
1204,4.02,N
1205,3.82,N
1206,4.02,N
1207,3.82,N
1208,4.02,N
1209,3.82,N
1210,4.02,N
1211,3.82,N
1212,4.02,N
1213,3.82,N
1214,4.02,N
1215,3.82,N
1216,4.06,N
1217,3.78,N
1218,4.06,N
1219,3.82,N
1220,4.02,N
1221,3.82,N
1222,4.02,N
1223,3.82,N
1224,4.02,N
1225,3.82,N
1226,4.02,N
1227,3.82,N
1228,4.02,N
1229,3.82,N
1230,4.02,N
1231,3.78,N
1232,4.02,N
1233,3.82,N
1234,4.02,N
1235,3.82,N
1236,4.02,N
1237,3.78,N
1238,4.02,N
1239,3.82,N
1240,4.02,N
1241,3.82,N
1242,4.02,N
1243,3.82,N
1244,4.02,N
1245,3.82,N
1246,4.02,N
1247,3.82,N
1248,4.02,N
1249,3.82,N
1250,4.02,N
1251,3.82,N
1252,4.02,N
1253,3.78,N
1254,4.02,N
1255,3.82,N
1256,4.02,N
1257,3.82,N
1258,4.02,N
1259,3.82,N
1260,4.02,N
1261,3.82,N
1262,4.02,N
1263,3.78,N
1264,4.02,N
1265,3.82,N
1266,4.02,N
1267,3.78,N
1268,4.02,N
1269,3.82,N
1270,4.02,N
1271,3.78,N
1272,4.02,N
1273,3.82,N
1274,4.02,N
1275,3.78,N
1276,4.02,N
1277,3.82,N
1278,4.02,N
1279,3.78,N
1280,4.02,N
1281,3.78,N
1282,4.02,N
1283,3.78,N
1284,4.02,N
1285,3.82,N
1286,4.02,N
1287,3.78,N
1288,4.02,N
1289,3.82,N
1290,4.02,N
1291,3.82,N
1292,4.02,N
1293,3.78,N
1294,4.02,N
1295,3.82,N
1296,4.02,N
1297,3.78,N
1298,4.02,N
1299,3.78,N
1300,4.02,N
1301,3.78,N
1302,4.02,N
1303,3.78,N
1304,4.02,N
1305,3.82,N
1306,4.02,N
1307,3.78,N
1308,4.02,N
